name,value,date
Danone,7968,2013/1/1
Colgate,7833,2013/1/1
Audi,7767,2013/1/1
Facebook,7732,2013/1/1
Heinz,7648,2013/1/1
Hermès,7616,2013/1/1
adidas,7535,2013/1/1
Nestlé,7527,2013/1/1
Nokia,7444,2013/1/1
Caterpillar,7125,2013/1/1
AXA,7096,2013/1/1
Cartier,6897,2013/1/1
Dell,6845,2013/1/1
Xerox,6779,2013/1/1
Allianz,6710,2013/1/1
Porsche,6471,2013/1/1
Nissan,6203,2013/1/1
KFC,6192,2013/1/1
Nintendo,6086,2013/1/1
Panasonic,5821,2013/1/1
Sprite,5811,2013/1/1
Discovery,5756,2013/1/1
Morgan Stanley,5724,2013/1/1
Prada,5570,2013/1/1
Shell,5535,2013/1/1
Visa,5465,2013/1/1
Tiffany & Co.,5440,2013/1/1
3M,5413,2013/1/1
Burberry,5189,2013/1/1
MTV,4980,2013/1/1
Adobe,4899,2013/1/1
John Deere,4865,2013/1/1
Johnson & Johnson,4777,2013/1/1
Johnnie Walker,4745,2013/1/1
Kia,4708,2013/1/1
Banco Santander,4660,2013/1/1
Duracell,4645,2013/1/1
Jack Daniel's,4642,2013/1/1
Avon,4610,2013/1/1
Ralph Lauren,4584,2013/1/1
Chevrolet,4578,2013/1/1
Kleenex,4428,2013/1/1
Starbucks,4399,2013/1/1
Heineken,4331,2013/1/1
Corona,4276,2013/1/1
Pizza Hut,4269,2013/1/1
Smirnoff,4262,2013/1/1
Harley-Davidson,4230,2013/1/1
Mastercard,4206,2013/1/1
Ferrari,4013,2013/1/1
Moët & Chandon,3943,2013/1/1
Gap,3920,2013/1/1
Apple,118863,2014/1/1
Google,107439,2014/1/1
Coca-Cola,81563,2014/1/1
IBM,72244,2014/1/1
Microsoft,61154,2014/1/1
GE,45480,2014/1/1
Samsung,45462,2014/1/1
Toyota,42392,2014/1/1
McDonald's,42254,2014/1/1
Mercedes-Benz,34338,2014/1/1
BMW,34214,2014/1/1
Intel,34153,2014/1/1
Disney,32223,2014/1/1
Cisco,30936,2014/1/1
Amazon,29478,2014/1/1
Oracle,25980,2014/1/1
HP,23758,2014/1/1
Gillette,22845,2014/1/1
Louis Vuitton,22552,2014/1/1
Honda,21673,2014/1/1
H&M,21083,2014/1/1
Nike,19875,2014/1/1
American Express,19510,2014/1/1
Pepsi,19119,2014/1/1
SAP,17340,2014/1/1
IKEA,15885,2014/1/1
UPS,14470,2014/1/1
eBay,14358,2014/1/1
Facebook,14349,2014/1/1
Pampers,14078,2014/1/1
Volkswagen,13716,2014/1/1
Kellogg's,13442,2014/1/1
HSBC,13142,2014/1/1
Budweiser,13024,2014/1/1
J.P. Morgan,12456,2014/1/1
Zara,12126,2014/1/1
Canon,11702,2014/1/1
NESCAFÉ,11406,2014/1/1
Ford,10876,2014/1/1
Hyundai,10409,2014/1/1
Gucci,10385,2014/1/1
Philips,10264,2014/1/1
L'Oréal,10162,2014/1/1
Accenture,9882,2014/1/1
Audi,9831,2014/1/1
Hermès,8977,2014/1/1
Goldman Sachs,8758,2014/1/1
Citi,8737,2014/1/1
Siemens,8672,2014/1/1
Colgate,8215,2014/1/1
Danone,8205,2014/1/1
Sony,8133,2014/1/1
AXA,8120,2014/1/1
Nestlé,8000,2014/1/1
Allianz,7702,2014/1/1
Nissan,7623,2014/1/1
Thomson Reuters,7472,2014/1/1
Cartier,7449,2014/1/1
adidas,7378,2014/1/1
Porsche,7171,2014/1/1
Caterpillar,6812,2014/1/1
Xerox,6641,2014/1/1
Morgan Stanley,6334,2014/1/1
Panasonic,6303,2014/1/1
Shell,6288,2014/1/1
3M,6177,2014/1/1
Discovery,6143,2014/1/1
KFC,6059,2014/1/1
Visa,5998,2014/1/1
Prada,5977,2014/1/1
Tiffany & Co.,5936,2014/1/1
Sprite,5646,2014/1/1
Burberry,5594,2014/1/1
Kia,5396,2014/1/1
Banco Santander,5382,2014/1/1
Starbucks,5382,2014/1/1
Adobe,5333,2014/1/1
Johnson & Johnson,5194,2014/1/1
John Deere,5124,2014/1/1
MTV,5102,2014/1/1
DHL,5084,2014/1/1
Chevrolet,5036,2014/1/1
Ralph Lauren,4979,2014/1/1
Duracell,4935,2014/1/1
Jack Daniel's,4884,2014/1/1
Johnnie Walker,4842,2014/1/1
Harley-Davidson,4772,2014/1/1
Mastercard,4758,2014/1/1
Kleenex,4643,2014/1/1
Smirnoff,4609,2014/1/1
Land Rover,4473,2014/1/1
FedEx,4414,2014/1/1
Corona,4387,2014/1/1
Huawei,4313,2014/1/1
Heineken,4221,2014/1/1
Pizza Hut,4196,2014/1/1
Hugo Boss,4143,2014/1/1
Nokia,4138,2014/1/1
Gap,4122,2014/1/1
Nintendo,4103,2014/1/1
Apple,170276,2015/1/1
Google,120314,2015/1/1
Coca-Cola,78423,2015/1/1
Microsoft,67670,2015/1/1
IBM,65095,2015/1/1
Toyota,49048,2015/1/1
Samsung,45297,2015/1/1
GE,42267,2015/1/1
McDonald's,39809,2015/1/1
Amazon,37948,2015/1/1
BMW,37212,2015/1/1
Mercedes-Benz,36711,2015/1/1
Disney,36514,2015/1/1
Intel,35415,2015/1/1
Cisco,29854,2015/1/1
Oracle,27283,2015/1/1
Nike,23070,2015/1/1
HP,23056,2015/1/1
Honda,22975,2015/1/1
Louis Vuitton,22250,2015/1/1
H&M,22222,2015/1/1
Gillette,22218,2015/1/1
Facebook,22029,2015/1/1
Pepsi,19622,2015/1/1
American Express,18922,2015/1/1
SAP,18768,2015/1/1
IKEA,16541,2015/1/1
Pampers,15267,2015/1/1
UPS,14723,2015/1/1
Zara,14031,2015/1/1
Budweiser,13943,2015/1/1
eBay,13940,2015/1/1
J.P. Morgan,13749,2015/1/1
Kellogg's,12637,2015/1/1
Volkswagen,12545,2015/1/1
NESCAFÉ,12257,2015/1/1
HSBC,11656,2015/1/1
Ford,11578,2015/1/1
Hyundai,11293,2015/1/1
Canon,11278,2015/1/1
Hermès,10944,2015/1/1
Accenture,10800,2015/1/1
L'Oréal,10798,2015/1/1
Audi,10328,2015/1/1
Citi,9784,2015/1/1
Goldman Sachs,9526,2015/1/1
Philips,9400,2015/1/1
AXA,9254,2015/1/1
Nissan,9082,2015/1/1
Gucci,8882,2015/1/1
Danone,8632,2015/1/1
Nestlé,8588,2015/1/1
Siemens,8553,2015/1/1
Allianz,8498,2015/1/1
Colgate,8464,2015/1/1
Porsche,8055,2015/1/1
Cartier,7924,2015/1/1
Sony,7702,2015/1/1
3M,7243,2015/1/1
Morgan Stanley,7083,2015/1/1
Visa,6870,2015/1/1
adidas,6811,2015/1/1
Thomson Reuters,6583,2015/1/1
Discovery,6509,2015/1/1
Panasonic,6436,2015/1/1
Tiffany & Co.,6306,2015/1/1
Starbucks,6266,2015/1/1
Adobe,6257,2015/1/1
Prada,6222,2015/1/1
Banco Santander,6097,2015/1/1
Xerox,6033,2015/1/1
Caterpillar,5976,2015/1/1
Burberry,5873,2015/1/1
Kia,5666,2015/1/1
KFC,5639,2015/1/1
Mastercard,5551,2015/1/1
Johnson & Johnson,5533,2015/1/1
Shell,5530,2015/1/1
Harley-Davidson,5460,2015/1/1
DHL,5391,2015/1/1
Sprite,5365,2015/1/1
LEGO,5362,2015/1/1
John Deere,5208,2015/1/1
Jack Daniel's,5161,2015/1/1
Chevrolet,5133,2015/1/1
FedEx,5130,2015/1/1
Land Rover,5109,2015/1/1
Huawei,4952,2015/1/1
Heineken,4822,2015/1/1
MTV,4763,2015/1/1
Ralph Lauren,4629,2015/1/1
Johnnie Walker,4540,2015/1/1
Corona,4456,2015/1/1
Smirnoff,4407,2015/1/1
Kleenex,4330,2015/1/1
Hugo Boss,4270,2015/1/1
PayPal,4251,2015/1/1
MINI,4243,2015/1/1
Moët & Chandon,4131,2015/1/1
Lenovo,4114,2015/1/1
Apple,178119,2016/1/1
Google,133252,2016/1/1
Coca-Cola,73102,2016/1/1
Microsoft,72795,2016/1/1
Toyota,53580,2016/1/1
IBM,52500,2016/1/1
Samsung,51808,2016/1/1
Amazon,50338,2016/1/1
Mercedes-Benz,43490,2016/1/1
GE,43130,2016/1/1
BMW,41535,2016/1/1
McDonald's,39381,2016/1/1
Disney,38790,2016/1/1
Intel,36952,2016/1/1
Facebook,32593,2016/1/1
Cisco,30948,2016/1/1
Oracle,26552,2016/1/1
Nike,25034,2016/1/1
Louis Vuitton,23998,2016/1/1
H&M,22681,2016/1/1
Honda,22106,2016/1/1
SAP,21293,2016/1/1
Pepsi,20265,2016/1/1
Gillette,19950,2016/1/1
American Express,18358,2016/1/1
IKEA,17834,2016/1/1
Zara,16766,2016/1/1
Pampers,16134,2016/1/1
UPS,15333,2016/1/1
Budweiser,15099,2016/1/1
J.P. Morgan,14227,2016/1/1
eBay,13136,2016/1/1
Ford,12962,2016/1/1
Hermès,12833,2016/1/1
Hyundai,12547,2016/1/1
NESCAFÉ,12517,2016/1/1
Accenture,12033,2016/1/1
Audi,11799,2016/1/1
Kellogg's,11711,2016/1/1
Volkswagen,11436,2016/1/1
Philips,11336,2016/1/1
Canon,11081,2016/1/1
Nissan,11066,2016/1/1
Hewlett Packard Enterprise,11027,2016/1/1
L'Oréal,10930,2016/1/1
AXA,10579,2016/1/1
HSBC,10458,2016/1/1
HP,10386,2016/1/1
Citi,10276,2016/1/1
Porsche,9537,2016/1/1
Allianz,9528,2016/1/1
Siemens,9415,2016/1/1
Gucci,9385,2016/1/1
Goldman Sachs,9378,2016/1/1
Danone,9197,2016/1/1
Nestlé,8708,2016/1/1
Colgate,8413,2016/1/1
Sony,8315,2016/1/1
3M,8199,2016/1/1
adidas,7885,2016/1/1
Visa,7747,2016/1/1
Cartier,7738,2016/1/1
Adobe,7586,2016/1/1
Starbucks,7490,2016/1/1
Morgan Stanley,7200,2016/1/1
Thomson Reuters,6830,2016/1/1
LEGO,6691,2016/1/1
Panasonic,6365,2016/1/1
Kia,6326,2016/1/1
Banco Santander,6223,2016/1/1
Discovery,5944,2016/1/1
Huawei,5835,2016/1/1
Johnson & Johnson,5790,2016/1/1
Tiffany & Co.,5761,2016/1/1
KFC,5742,2016/1/1
Mastercard,5736,2016/1/1
DHL,5708,2016/1/1
Land Rover,5696,2016/1/1
FedEx,5579,2016/1/1
Harley-Davidson,5527,2016/1/1
Prada,5504,2016/1/1
Caterpillar,5425,2016/1/1
Burberry,5362,2016/1/1
Xerox,5290,2016/1/1
Jack Daniel's,5193,2016/1/1
Sprite,5148,2016/1/1
Heineken,5123,2016/1/1
MINI,4986,2016/1/1
Dior,4909,2016/1/1
PayPal,4839,2016/1/1
John Deere,4815,2016/1/1
Shell,4599,2016/1/1
Corona,4509,2016/1/1
MTV,4320,2016/1/1
Johnnie Walker,4317,2016/1/1
Smirnoff,4252,2016/1/1
Moët & Chandon,4118,2016/1/1
Ralph Lauren,4092,2016/1/1
Lenovo,4045,2016/1/1
Tesla,4011,2016/1/1
Apple,184154,2017/1/1
Google,141703,2017/1/1
Microsoft,79999,2017/1/1
Coca-Cola,69733,2017/1/1
Amazon,64796,2017/1/1
Samsung,56249,2017/1/1
Toyota,50291,2017/1/1
Facebook,48188,2017/1/1
Mercedes-Benz,47829,2017/1/1
IBM,46829,2017/1/1
GE,44208,2017/1/1
McDonald's,41533,2017/1/1
BMW,41521,2017/1/1
Disney,40772,2017/1/1
Intel,39459,2017/1/1
Cisco,31930,2017/1/1
Oracle,27466,2017/1/1
Nike,27021,2017/1/1
Louis Vuitton,22919,2017/1/1
Honda,22696,2017/1/1
SAP,22635,2017/1/1
Pepsi,20491,2017/1/1
H&M,20488,2017/1/1
Zara,18573,2017/1/1
IKEA,18472,2017/1/1
Gillette,18200,2017/1/1
American Express,17787,2017/1/1
Pampers,16416,2017/1/1
UPS,16387,2017/1/1
J.P. Morgan,15749,2017/1/1
Budweiser,15375,2017/1/1
Hermès,14210,2017/1/1
Ford,13643,2017/1/1
eBay,13224,2017/1/1
Hyundai,13193,2017/1/1
NESCAFÉ,12661,2017/1/1
Accenture,12471,2017/1/1
Audi,12023,2017/1/1
Nissan,11534,2017/1/1
Volkswagen,11522,2017/1/1
Philips,11519,2017/1/1
AXA,11073,2017/1/1
Kellogg's,10972,2017/1/1
Goldman Sachs,10864,2017/1/1
L'Oréal,10674,2017/1/1
Citi,10599,2017/1/1
HSBC,10534,2017/1/1
Porsche,10129,2017/1/1
Allianz,10059,2017/1/1
Siemens,9982,2017/1/1
Gucci,9969,2017/1/1
Canon,9788,2017/1/1
HP,9541,2017/1/1
Danone,9322,2017/1/1
adidas,9216,2017/1/1
Adobe,9060,2017/1/1
Hewlett Packard Enterprise,8951,2017/1/1
3M,8947,2017/1/1
Nestlé,8728,2017/1/1
Starbucks,8704,2017/1/1
Sony,8474,2017/1/1
Colgate,8325,2017/1/1
Morgan Stanley,8205,2017/1/1
Visa,7815,2017/1/1
Cartier,7547,2017/1/1
Thomson Reuters,7100,2017/1/1
LEGO,7024,2017/1/1
Banco Santander,6702,2017/1/1
Kia,6683,2017/1/1
Huawei,6676,2017/1/1
Mastercard,6350,2017/1/1
FedEx,6255,2017/1/1
Land Rover,6095,2017/1/1
Johnson & Johnson,6041,2017/1/1
Panasonic,5983,2017/1/1
DHL,5715,2017/1/1
Harley-Davidson,5671,2017/1/1
Netflix,5592,2017/1/1
Discovery,5411,2017/1/1
PayPal,5408,2017/1/1
Tiffany & Co.,5394,2017/1/1
Jack Daniel's,5332,2017/1/1
KFC,5313,2017/1/1
Salesforce.com,5224,2017/1/1
Heineken,5181,2017/1/1
Burberry,5135,2017/1/1
MINI,5114,2017/1/1
Ferrari,4876,2017/1/1
Caterpillar,4868,2017/1/1
Sprite,4842,2017/1/1
Shell,4823,2017/1/1
John Deere,4783,2017/1/1
Corona,4776,2017/1/1
Prada,4716,2017/1/1
Dior,4587,2017/1/1
Johnnie Walker,4405,2017/1/1
Smirnoff,4288,2017/1/1
Tesla,4009,2017/1/1
Moët & Chandon,4006,2017/1/1
Lenovo,4004,2017/1/1
Apple,214480,2018/1/1
Google,155506,2018/1/1
Amazon,100764,2018/1/1
Microsoft,92715,2018/1/1
Coca-Cola,66341,2018/1/1
Samsung,59890,2018/1/1
Toyota,53404,2018/1/1
Mercedes-Benz,48601,2018/1/1
Facebook,45168,2018/1/1
McDonald's,43417,2018/1/1
Intel,43293,2018/1/1
IBM,42972,2018/1/1
BMW,41006,2018/1/1
Disney,39874,2018/1/1
Cisco,34575,2018/1/1
GE,32757,2018/1/1
Nike,30120,2018/1/1
Louis Vuitton,28152,2018/1/1
Oracle,26133,2018/1/1
Honda,23682,2018/1/1
SAP,22885,2018/1/1
Pepsi,20798,2018/1/1
Chanel,20005,2018/1/1
American Express,19139,2018/1/1
Zara,17712,2018/1/1
J.P. Morgan,17567,2018/1/1
IKEA,17458,2018/1/1
Gillette,16864,2018/1/1
UPS,16849,2018/1/1
H&M,16826,2018/1/1
Pampers,16617,2018/1/1
Hermès,16372,2018/1/1
Budweiser,15627,2018/1/1
Accenture,14214,2018/1/1
Ford,13995,2018/1/1
Hyundai,13535,2018/1/1
NESCAFÉ,13053,2018/1/1
eBay,13017,2018/1/1
Gucci,12942,2018/1/1
Nissan,12213,2018/1/1
Volkswagen,12201,2018/1/1
Audi,12187,2018/1/1
Philips,12104,2018/1/1
Goldman Sachs,11769,2018/1/1
Citi,11577,2018/1/1
HSBC,11208,2018/1/1
AXA,11118,2018/1/1
L'Oréal,11102,2018/1/1
Allianz,10821,2018/1/1
adidas,10772,2018/1/1
Adobe,10748,2018/1/1
Porsche,10707,2018/1/1
Kellogg's,10634,2018/1/1
HP,10433,2018/1/1
Canon,10380,2018/1/1
Siemens,10132,2018/1/1
Starbucks,9615,2018/1/1
Danone,9533,2018/1/1
Sony,9316,2018/1/1
3M,9104,2018/1/1
Visa,9021,2018/1/1
Nestlé,8938,2018/1/1
Morgan Stanley,8802,2018/1/1
Colgate,8659,2018/1/1
Hewlett Packard Enterprise,8157,2018/1/1
Netflix,8111,2018/1/1
Cartier,7646,2018/1/1
Huawei,7578,2018/1/1
Banco Santander,7547,2018/1/1
Mastercard,7545,2018/1/1
Kia,6925,2018/1/1
FedEx,6890,2018/1/1
PayPal,6621,2018/1/1
LEGO,6533,2018/1/1
Salesforce.com,6432,2018/1/1
Panasonic,6293,2018/1/1
Johnson & Johnson,6231,2018/1/1
Land Rover,6221,2018/1/1
DHL,5881,2018/1/1
Ferrari,5760,2018/1/1
Discovery,5755,2018/1/1
Caterpillar,5730,2018/1/1
Tiffany & Co.,5642,2018/1/1
Jack Daniel's,5641,2018/1/1
Corona,5517,2018/1/1
KFC,5481,2018/1/1
Heineken,5393,2018/1/1
John Deere,5375,2018/1/1
Shell,5276,2018/1/1
MINI,5254,2018/1/1
Dior,5223,2018/1/1
Spotify,5176,2018/1/1
Harley-Davidson,5161,2018/1/1
Burberry,4989,2018/1/1
Prada,4812,2018/1/1
Sprite,4733,2018/1/1
Johnnie Walker,4731,2018/1/1
Hennessy,4722,2018/1/1
Nintendo,4696,2018/1/1
Subaru,4214,2018/1/1
Apple,234241,2019/1/1
Google,167713,2019/1/1
Amazon,125263,2019/1/1
Microsoft,108847,2019/1/1
Coca-Cola,63365,2019/1/1
Samsung,61098,2019/1/1
Toyota,56246,2019/1/1
Mercedes-Benz,50832,2019/1/1
McDonald's,45362,2019/1/1
Disney,44352,2019/1/1
BMW,41440,2019/1/1
IBM,40381,2019/1/1
Intel,40197,2019/1/1
Facebook,39857,2019/1/1
Cisco,35559,2019/1/1
Nike,32376,2019/1/1
Louis Vuitton,32223,2019/1/1
Oracle,26288,2019/1/1
GE,25566,2019/1/1
SAP,25092,2019/1/1
Honda,24422,2019/1/1
Chanel,22134,2019/1/1
American Express,21629,2019/1/1
Pepsi,20488,2019/1/1
J.P. Morgan,19044,2019/1/1
IKEA,18407,2019/1/1
UPS,18072,2019/1/1
Hermès,17920,2019/1/1
Zara,17175,2019/1/1
H&M,16345,2019/1/1
Accenture,16205,2019/1/1
Budweiser,16018,2019/1/1
Gucci,15949,2019/1/1
Pampers,15773,2019/1/1
Ford,14325,2019/1/1
Hyundai,14156,2019/1/1
Gillette,13753,2019/1/1
NESCAFÉ,13605,2019/1/1
Adobe,12937,2019/1/1
Volkswagen,12921,2019/1/1
Citi,12697,2019/1/1
Audi,12689,2019/1/1
Allianz,12078,2019/1/1
eBay,12010,2019/1/1
adidas,11992,2019/1/1
AXA,11830,2019/1/1
HSBC,11816,2019/1/1
Starbucks,11798,2019/1/1
Philips,11661,2019/1/1
Porsche,11652,2019/1/1
L'Oréal,11589,2019/1/1
Nissan,11502,2019/1/1
Goldman Sachs,11352,2019/1/1
HP,10891,2019/1/1
Visa,10756,2019/1/1
Sony,10514,2019/1/1
Kellogg's,10419,2019/1/1
Siemens,10259,2019/1/1
Danone,9915,2019/1/1
Nestlé,9534,2019/1/1
Canon,9482,2019/1/1
Mastercard,9430,2019/1/1
Dell,9086,2019/1/1
3M,9035,2019/1/1
Netflix,8963,2019/1/1
Colgate,8824,2019/1/1
Banco Santander,8521,2019/1/1
Cartier,8192,2019/1/1
Morgan Stanley,8185,2019/1/1
Salesforce.com,8004,2019/1/1
Hewlett Packard Enterprise,7909,2019/1/1
PayPal,7604,2019/1/1
FedEx,6998,2019/1/1
Huawei,6887,2019/1/1
LEGO,6884,2019/1/1
Caterpillar,6791,2019/1/1
Ferrari,6458,2019/1/1
Kia,6428,2019/1/1
Corona,6369,2019/1/1
Jack Daniel's,6347,2019/1/1
Panasonic,6189,2019/1/1
Dior,6045,2019/1/1
DHL,5987,2019/1/1
John Deere,5883,2019/1/1
Land Rover,5855,2019/1/1
Johnson & Johnson,5720,2019/1/1
Uber,5714,2019/1/1
Heineken,5626,2019/1/1
Nintendo,5550,2019/1/1
MINI,5532,2019/1/1
Discovery,5525,2019/1/1
Spotify,5516,2019/1/1
KFC,5509,2019/1/1
Tiffany & Co.,5335,2019/1/1
Hennessy,5297,2019/1/1
Burberry,5205,2019/1/1
Shell,5105,2019/1/1
LinkedIn,4836,2019/1/1
Harley-Davidson,4793,2019/1/1
Prada,4781,2019/1/1
